"Plot_Nr" "Block" "Species_richness" "Functional_composition" "Nitrogen" "Fungicide" "Combination" "CWM_SLA" "MPD_SLA_abundance" "MPD_SLA_presence" "Aboveground_biomass" "Herbivory" "Pathogens" "Soil_respiration" "Plant_N_uptake" "Plant_P_uptake" "Belowground_biomass" "BGlucosidase" "Phosphatase" "Carbon_storage"
"51" 80 1 8 "F" 1 0 "81F" 21.5062224739916 0.0991310662108528 0.211332630663506 29.2100320696315 0.752307876609763 93.5484686122511 5.1873764956 0.0870793403133336 0.0197786314708455 275.0079592 2.990897998 3.9871342624 -0.437090906
"52" 81 1 1 "F" 0 1 "Hs" 12.265066079875 0 0 2.58360285547786 0.655 53.3333333333333 3.8840259319 0.134151896094817 0.026733561606211 100.4801536 1.9224723482 3.3403569005 -0.292
"53" 82 1 8 "S" 0 1 "81S" 16.4433487240681 0.116167955982379 0.123248712401004 28.8629931412476 0.66857841573631 40.6584030401151 3.6733521229 0.1509564944631 0.0184377389036291 133.4714696 2.5837921412 4.4827946994 -0.269289165
"54" 83 1 20 "M" 1 1 "20sp" 20.8545160841158 0.163194199063688 0.133156601234048 48.9634254240887 0.623921166552746 58.3292765781311 6.0538573132 0.199420648439317 0.033531473860692 406.4147348 2.210876857 3.3902041244 -0.399535202
"55" 100 2 8 "M" 0 1 "810M" 19.9559527586958 0.126835583826729 0.150082452695985 8.06638128608835 0.425161913250149 65.085463024161 7.0131585328 0.252369783390676 0.00655502317668909 307.5982821 2.5552838856 4.376671147 0.373990695
"56" 102 2 4 "F" 1 1 "41F" 23.4872271609271 0.124980499911287 0.10138824102863 46.7494062489137 0.731007234752308 81.9284951458916 7.40078636775 0.0878135933725574 0.00551880093954221 132.24149 1.8487937492 4.378671407 -0.366575586
"57" 106 2 4 "F" 1 1 "49F" 22.388606675012 0.107159875878528 0.164712913129352 15.9668934801026 0.370779220779221 60.0842911877395 4.9410760785 0.0555794000664266 0.00973665942427494 298.1651376 2.802518418 4.0787028222 -0.170534207333334
"58" 107 2 8 "M" 1 1 "83M" 20.8458110151653 0.136073811019691 0.161687863905094 36.7877299355434 0.632733616218765 53.5346633244355 6.2012088443 0.0651901844238233 0.00704950160023686 412.2864652 3.8002381982 4.2392474454 -0.227
"59" 108 2 4 "M" 0 1 "41M" 20.1727745958104 0.0589694635454542 0.0578926947848583 43.5933174147727 1.25082853654282 48.796578460444 6.801181545 0.134009767608255 0.00661723535300406 213.418316 2.934637378 4.023850474 0.333799474
"60" 109 2 4 "S" 0 1 "48S" 16.9338473255722 0.0939895026325937 0.0876002850636498 20.0594271270169 0.798333333333333 39.2579365079365 7.5083654131 0.166361167361171 0.00771525079269498 765.4083734 3.0914986554 4.45731123825 -0.289350974
"61" 110 2 8 "M" 0 1 "82M" 20.0519446414539 0.158019941871944 0.293879976370317 24.6676504577058 0.887794198139026 44.2949670289572 5.5359069884 0.170686686365471 0.00810294260122072 502.9291553 3.5350524222 4.4078530424 0.0800551970000001
"62" 113 2 1 "F" 1 1 "Cb" 20.0688026953333 0 0 32.8774060203019 0.8 70 5.8901967233 0.164347338610012 0.0076723889901218 304.1477867 4.2462024786 5.143204031 -0.0864462069999998
"63" 114 2 1 "F" 0 0 "Pt" 39.4972564790915 0 0 6.71873002518315 0.48 28.3333333333333 4.60398566 0.0427959983628238 0.0119074343383078 214.9832776 2.9328001702 4.890429337 -0.0287877910000001
"64" 115 2 1 "F" 1 1 "To" 21.35888478 0 0 13.591251923191 1.18 78.3333333333333 7.5421119436 0.0743359020618921 0.0101169283449094 110.0232327 3.627733382 5.2990111108 -0.116
