Plot_Nr	CS_SLA	CS_LDMC	MPD_2_ab	MPD_2_pre	MPD_SLA_ab	MPD_SLA_pre	Block	SD	FC	Ni	Fz	Comb
244	18.22803942	225.4897609	0.159746411	0.169396795	0.078348545	0.064629583	3	4	S	1	1	48S
245	14.71087085	272.2820421	0.274025885	0.227119442	0.11596285	0.104951603	3	4	S	1	0	49S
246	22.97091552	234.8988053	0.187194919	0.243912522	0.111310916	0.190203157	3	8	F	1	1	810F
247	21.25830533	231.2237546	0.168140425	0.211735825	0.111451383	0.166970227	3	20	M	0	0	20sp
248	35.24748102	109.2431165	0	0	0	0	3	1	F	1	1	Ra
249	22.03939915	261.4556559	0.223722634	0.278999974	0.134662864	0.215029366	3	8	F	0	0	85F
250	20.42688312	204.2885355	0	0	0	0	3	1	S	0	0	Pg
251	14.55630402	244.8858316	0	0	0	0	3	1	F	1	1	Hs
252	17.87016976	234.0963418	0.163464848	0.210132948	0.116826942	0.125820312	3	8	S	0	1	86S
253	18.38536666	261.0623807	0.236230262	0.338535078	0.146212237	0.293115237	4	4	M	0	0	45M
254	16.8934963	241.1119482	0.176109631	0.195138359	0.115431432	0.108925115	4	8	S	0	1	84S
255	22.64497404	217.739854	0.132231786	0.191567622	0.06560526	0.105872964	4	4	F	0	0	48F
256	18.56446266	221.9821356	0.126167608	0.153132133	0.079318418	0.091034323	4	4	S	0	0	48S
257	15.53042414	257.5099207	0.286563625	0.249199637	0.132541109	0.169988774	4	4	S	0	1	49S
258	14.95360804	244.9730757	0.176233793	0.192219031	0.114328391	0.127697807	4	8	S	0	0	82S
259	23.01524602	225.1750997	0.233493146	0.229336485	0.159179565	0.148083156	4	4	F	0	0	410F
260	17.06712542	233.4250872	0.097021596	0.140392601	0.104234532	0.13838423	4	4	M	1	1	410M
261	23.95883223	304.1362271	0.106621897	0.149661696	0.105773642	0.174886429	4	4	F	0	0	47F
262	14.98409758	218.2007074	0	0	0	0	4	1	S	1	1	Pg
263	24.0661829	226.4155331	0.233638958	0.235485577	0.190171917	0.207990685	4	8	F	0	0	81F
264	18.9438817	300.1499761	0.239073675	0.276632102	0.193094257	0.152252403	4	4	M	0	1	43M
265	13.4070529	234.385773	0.146811432	0.148513976	0.143684022	0.114379391	4	4	M	0	0	46M
266	20.92632204	209.1565234	0.244539541	0.229905116	0.198569835	0.172668475	4	4	S	1	0	41S
267	25.17331637	212.9323952	0.243082429	0.257427313	0.163939518	0.195943134	4	8	F	1	1	87F
268	15.97548263	230.4654005	0.129057206	0.171678746	0.101542412	0.160671515	4	8	M	1	0	87M
269	18.22141028	232.0076278	0.162691177	0.166316429	0.116417278	0.120092195	4	8	M	1	0	89M
270	21.73058709	276.7918924	0.133531082	0.173237518	0.100591068	0.124408654	4	4	F	1	1	44F
271	21.29136152	223.6242072	0.20904173	0.199913039	0.179249316	0.129211171	4	8	S	1	1	83S
272	15.33115879	228.3440111	0.109728685	0.137824667	0.050033258	0.080818011	4	4	S	1	0	46S
273	22.325135	207.3814928	0.127158715	0.134628945	0.115221272	0.094723261	4	4	M	1	0	41M
274	15.07701135	174.6147169	0	0	0	0	4	1	S	1	1	Pm
275	11.77319228	326.6085046	0	0	0	0	4	1	S	1	0	Fr
276	19.71436158	236.5502025	0.203850368	0.205065789	0.079897989	0.090487215	4	8	M	0	1	85M
277	25.47181877	214.7683005	0.223146678	0.218231361	0.165657006	0.151880104	4	8	F	0	0	86F
278	22.97389354	324.0961091	0	0	0	0	4	1	S	0	1	Ao
279	23.15893723	215.4073135	0	0	0	0	4	1	S	1	0	Sp
280	21.08767937	224.9075791	0.230954363	0.230481516	0.194998251	0.154461647	4	8	M	0	0	88M
281	12.65262756	232.9160868	0	0	0	0	4	1	S	0	0	Am
282	16.44164574	265.9354203	0.229291505	0.223512378	0.12679001	0.133080868	4	8	S	0	1	88S
283	18.09643241	229.2653269	0.255527736	0.181279552	0.131880026	0.110347297	4	4	M	1	1	42M
284	18.29402048	215.1044664	0.164599631	0.210679684	0.123955269	0.089602734	4	4	S	0	0	45S
285	15.56370481	254.7928596	0.20378667	0.209639722	0.108300559	0.104367976	4	8	S	0	1	810S
286	22.11312154	192.4305181	0	0	0	0	4	1	F	0	0	Cb
287	22.70318595	287.8273441	0.211829554	0.273426211	0.131362625	0.250523579	4	4	F	0	1	49F
288	17.96364739	225.5355781	0.158697333	0.175203884	0.125645626	0.100732786	4	8	S	1	0	89S
289	23.23639694	286.1677611	0.183686298	0.21657808	0.20364229	0.257880126	4	4	F	1	0	42F
290	18.9140185	243.8093523	0.169418902	0.198836109	0.122975212	0.148994219	4	20	M	0	0	20sp
291	21.77636786	210.6559487	0.176237443	0.241885592	0.152649608	0.217162229	4	8	M	1	0	82M
292	42.18547303	298.9201325	0	0	0	0	4	1	F	0	1	Pt
293	23.41074343	221.4905778	0.194879463	0.181407331	0.155674245	0.112732233	4	8	M	0	0	81M
294	21.90974899	298.7561992	0	0	0	0	4	1	F	0	1	Lp
295	17.58854674	253.7870764	0.189783032	0.213438143	0.128065796	0.151687923	4	20	M	0	1	20sp
296	23.26868465	268.714887	0.2123986	0.315697896	0.163918156	0.235278406	4	4	F	1	1	45F
297	26.23423447	205.2538001	0.240603515	0.291309098	0.092392283	0.165393412	4	4	F	1	1	46F
298	25.6345085	288.8690611	0	0	0	0	4	1	F	1	1	Dg
299	23.00775616	290.8579658	0	0	0	0	4	1	F	0	1	Hl
300	25.23826233	203.8847059	0.195960464	0.258135189	0.16543529	0.20545084	4	8	F	0	0	810F
301	23.34607513	215.1707613	0.184272583	0.24636741	0.13065851	0.177123252	4	8	F	1	1	85F
302	23.21874621	256.2450892	0.207145576	0.186991705	0.123255004	0.135425495	4	4	M	1	1	44M
303	17.36518883	221.3690496	0.157154912	0.205635318	0.1874562	0.209338297	4	8	M	0	0	84M
304	26.15511887	210.7462613	0.204774388	0.203540781	0.126646826	0.123355615	4	8	F	0	0	82F
305	24.84139243	203.3294913	0.161795916	0.181053908	0.114660268	0.121842281	4	4	F	1	0	41F
306	18.41446164	235.6467386	0.190428554	0.200281505	0.139020075	0.157432445	4	8	M	0	1	86M
307	19.73669946	235.0916502	0.186808493	0.188217021	0.1378964	0.10370154	4	8	S	1	1	81S
308	19.96053176	233.2383938	0.182852193	0.186353711	0.162483419	0.139495478	4	20	M	1	0	20sp
309	13.73098893	261.9220673	0.222066834	0.214098314	0.081927503	0.123018367	4	4	S	0	1	410S
310	18.24508626	213.4718831	0.246733759	0.260852711	0.235999365	0.189087068	4	4	M	0	1	48M
311	24.302046	260.7102243	0.23622859	0.224335061	0.173812734	0.168054116	4	8	F	0	0	84F
312	17.57484726	236.7404176	0.175103469	0.185381874	0.096944289	0.093863723	4	4	S	0	1	42S
313	34.34855992	137.6150709	0	0	0	0	4	1	F	0	0	Ra
314	17.33863438	237.8091807	0.186613785	0.209998134	0.147833845	0.142849759	4	4	S	1	0	44S
315	18.89773033	251.0757769	0	0	0	0	4	1	F	1	1	As
316	20.52805713	221.3769733	0.076067626	0.149717314	0.057011945	0.123750205	4	4	S	0	0	47S
317	24.57813103	214.5225907	0.179558589	0.232787561	0.124766454	0.150081318	4	8	F	0	1	89F
318	21.38992888	203.9862765	0	0	0	0	4	1	F	0	0	To
319	18.32707729	227.2044359	0.168378607	0.18059019	0.198017691	0.163956753	4	4	M	1	0	47M
320	19.45583543	235.7234572	0.171140729	0.179267079	0.1513336	0.131599397	4	8	S	1	1	86S
321	17.71876929	258.3050011	0	0	0	0	4	1	S	0	1	Dc
322	20.46451336	263.2497514	0.176403487	0.182638277	0.093399564	0.099817785	4	4	M	0	0	49M
323	22.31883676	246.7983819	0.164166733	0.182024699	0.083417543	0.147023491	4	8	F	1	1	83F
324	18.99822477	216.5865446	0.142143816	0.196278551	0.107980816	0.117570312	4	8	S	0	0	85S
325	20.27741432	251.2652885	0.234671049	0.30151059	0.150118724	0.270580732	4	8	M	0	1	83M
326	23.66758608	229.005794	0.214123907	0.263480881	0.146562715	0.180345053	4	4	F	1	0	43F
327	22.07294261	197.5327	0	0	0	0	4	1	S	1	0	Cj
328	19.27813892	229.8909423	0.168273938	0.217203275	0.134006931	0.159435561	4	20	M	0	1	20sp
329	14.13533866	317.9313628	0	0	0	0	4	1	F	0	0	Hs
330	17.09743842	305.7320266	0	0	0	0	4	1	S	1	1	Hp
331	20.90094679	234.8471898	0.135001095	0.15984112	0.059846624	0.089368399	4	4	S	0	0	43S
332	23.5583628	262.5086657	0.141893799	0.161484244	0.084135178	0.087802643	4	8	F	1	1	88F
333	18.14360088	252.3469871	0.194969976	0.187237738	0.126516113	0.128859095	4	8	M	1	1	810M
334	28.54312627	183.6949339	0	0	0	0	4	1	F	0	0	Ga
335	16.82503018	353.1867372	0	0	0	0	4	1	S	0	0	Be
336	18.4420643	220.7398528	0.159686591	0.183638055	0.154185483	0.122141966	4	8	S	1	0	87S
