"Am" "Ao" "As" "Be" "Cb" "Cj" "Dc" "Dg" "Fr" "Ga" "Hl" "Hp" "Hs" "Lp" "Pg" "Pm" "Pt" "Ra" "Sp" "To" "Block" "Plot_Nr"
"116" 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 116
"117" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 117
"118" 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 2 118
"119" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 119
"120" 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 2 120
"121" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 121
"122" 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 2 122
"123" 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 2 123
"124" 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 124
"125" 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 2 125
"126" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 126
"127" 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 127
"128" 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 128
"129" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 129
"130" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 130
"131" 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 2 131
"132" 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 2 132
"133" 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 133
"134" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 134
"135" 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 2 135
"136" 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 2 136
"137" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 137
"138" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 2 138
"139" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 139
"140" 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 140
"141" 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 2 141
"142" 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 2 142
"143" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 2 143
"144" 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 144
"145" 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 145
"146" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 146
"147" 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 2 147
"148" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 148
"149" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 2 149
"150" 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 2 150
"151" 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 151
"152" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 2 152
"153" 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 2 153
"154" 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 2 154
"155" 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 2 155
"156" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 156
"157" 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 157
"158" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 158
"159" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 2 159
"160" 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 160
"161" 0 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 2 161
"162" 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 2 162
"163" 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 0 2 163
"164" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 164
"165" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 2 165
